"OilRmb"	"SZ399001"	"SG000001"	"HS000300"	"CI005001"	"CI005002"	"CI005003"	"CI005005"
"1"	0.00383562114081748	-0.0138357924082424	-0.0189144312550642	-0.017355743359853	-0.0276844010295907	-0.0287505649533157	-0.0254174026872676	-0.0240602400800212
"2"	0.0181552202475759	0.00902893134652416	0.00735158900233568	0.00989195848728563	-0.00029078080093381	0.00516540890650852	0.0138521826021032	0.0076997338820064
"3"	0.0251902488285589	-0.00793546642418086	-0.0100427516933266	-0.00950538047102878	-0.019704439220253	-0.0200442129641489	-0.0238246800110486	-0.0141149900791486
"4"	0.0299222736259868	0.00226241455796838	0.00428311002661719	0.000797099575941651	0.00119631902764628	-0.0389418075475847	-0.00218310727012394	-0.000911461021974702
"5"	0.019378988230323	0.00890087079111446	0.0061270039299588	0.0100322556500538	-0.0113698825258659	0.00858388942978117	0.0079243990923521	0.00862403665508271
"6"	-0.0168409158018514	0.00223081155084337	0.00403210287059252	0.00327069814936376	-0.00172146368267523	-0.0123014782802437	0.00517803103194137	0.00411960908162623
"7"	0.0090840897203428	-0.00170527486297978	-0.000429529353798586	-0.00038818727564216	-0.0103424716698592	0.00378242548416097	0.00573159407583645	0.00210236121004304
"8"	0.0314032480481314	0.00326779043981773	-0.000485431108158352	0.000129412502531956	-0.0117936031364758	0.0165573311838223	-0.00179602425483605	0.00113234518587646
"9"	0.0173749544703528	-0.00615021131435967	-0.00854545495105619	-0.00863502584601683	-0.0120715246493335	-0.00953344604285977	-0.0130907547018664	-0.0051940800907051
"10"	0.000239205837763379	-0.0186642222707007	-0.023532217725367	-0.0213265551246726	-0.0322056686320611	-0.0197605272782635	-0.0302365077241173	-0.0186640609555715
"11"	0.003819531977026	0.00776895775427278	0.00720694327777238	0.00745263448563094	-0.00711111264490327	0.00209832581822234	0.0169182405215098	0.0148817338086262
"12"	-0.0107798384878661	-0.00702565783521258	-0.00600764628341199	-0.00770280738535423	-0.00266032944809691	-0.0286436146693037	-0.00753633838910961	-0.00648087570204758
"13"	-0.0204386676772748	-0.0107632559394339	-0.0113272624951195	-0.011401482001471	-0.00427956231771986	-0.0182304044150179	-0.0133880647623128	-0.00828333960221883
"14"	0.023084490026525	0.0287790839827053	0.0246766140792456	0.0271920341898415	0.0259240864890069	0.0434554608037079	0.023704714780834	0.0327599597377199
"15"	0.0204476929198361	0.0180280890742868	0.0171070646873552	0.0156803434065873	0.0172102440398012	0.0195018083520049	0.019049786363456	0.015627067806208
